name,M_solar,M_kg,r_m,r_km,r_AU,r_ly,r_pc,r_s_m,r_s_km,x_dimensionless,horizon_ratio,r_ph_m,r_isco_m,inside_photon_sphere,inside_isco,Xi_segment_density,D_ssz_time_dilation,D_gr_time_dilation,stretch_factor,R_ssz_m,R_ssz_km,v_orbital_m_s,v_escape_m_s,v_orbital_ssz_m_s,v_escape_ssz_m_s,v_orbital_km_s,v_escape_km_s,v_orbital_ssz_km_s,v_escape_ssz_km_s,v_orbital_over_c,v_escape_over_c,tau_over_t,z_gr_redshift,z_ssz_redshift,T_orbital_seconds,T_orbital_years,T_orbital_ssz_seconds,T_orbital_ssz_years,g_m_s2,g_earth_g,phi_potential_J_kg,export_timestamp,phi_golden_ratio
Star_0011,4.3067942200e-01,8.5662137036e+29,1.5442445693e+20,1.5442445693e+17,1.0322490436e+09,1.6322212972e+04,5.0045194585e+03,1.2722815172e+03,1.2722815172e+00,1.2137601218e+17,1.2137601218e+17,1.9084222759e+03,3.8168445517e+03,False,False,1.0000000000e+00,0,1.0000000000e+00,2.0000000000e+00,3.0884891386e+20,3.0884891386e+17,6.0847014313e-01,8.6050672871e-01,8.6050672871e-01,1.2169402863e+00,6.0847014313e-04,8.6050672871e-04,8.6050672871e-04,1.2169402863e-03,2.0296379275e-09,2.8703414837e-09,0,0.0000000000e+00,inf,1.5946180594e+21,5.0530397097e+13,3.1892361188e+21,1.0106079419e+14,2.3975212375e-21,2.4439564093e-22,-3.7023591508e-01,2025-11-22T13:30:24.707255,1.6180339887e+00
Star_0012,3.3878269150e-01,6.7383877339e+29,2.9506631328e+19,2.9506631328e+16,1.9723684043e+08,3.1187645416e+03,9.5623784970e+02,1.0008069454e+03,1.0008069454e+00,2.9482840287e+16,2.9482840287e+16,1.5012104180e+03,3.0024208361e+03,False,False,1.0000000000e+00,0,1.0000000000e+00,2.0000000000e+00,5.9013262656e+19,5.9013262656e+16,1.2345851397e+00,1.7459670484e+00,1.7459670484e+00,2.4691702793e+00,1.2345851397e-03,1.7459670484e-03,1.7459670484e-03,2.4691702793e-03,4.1181327506e-09,5.8239191875e-09,0,0.0000000000e+00,inf,1.5016836544e+20,4.7585483511e+12,3.0033673089e+20,9.5170967021e+12,5.1656200606e-20,5.2656677478e-21,-1.5242004671e+00,2025-11-22T13:30:24.707255,1.6180339887e+00
Star_0013,4.1290888620e-01,8.2127577465e+29,5.7727279905e+18,5.7727279905e+15,3.8587753947e+07,6.1016044715e+02,1.8708001395e+02,1.2197851055e+03,1.2197851055e+00,4.7325778649e+15,4.7325778649e+15,1.8296776583e+03,3.6593553166e+03,False,False,1.0000000000e+00,0,1.0000000000e+00,2.0000000000e+00,1.1545455981e+19,1.1545455981e+16,3.0814620324e+00,4.3578453982e+00,4.3578453982e+00,6.1629240648e+00,3.0814620324e-03,4.3578453982e-03,4.3578453982e-03,6.1629240648e-03,1.0278650947e-08,1.4536207573e-08,0,2.2204460493e-16,inf,1.1770750154e+19,3.7299256451e+11,2.3541500308e+19,7.4598512902e+11,1.6448736668e-18,1.6767315666e-19,-9.4954082573e+00,2025-11-22T13:30:24.707255,1.6180339887e+00
Star_0014,1.8616027752e+00,3.7027279199e+30,9.3815262680e+19,9.3815262680e+16,6.2710737086e+08,9.9159985921e+03,3.0403235143e+03,5.4994101932e+03,5.4994101932e+00,1.7059149870e+16,1.7059149870e+16,8.2491152898e+03,1.6498230580e+04,False,False,1.0000000000e+00,0,1.0000000000e+00,2.0000000000e+00,1.8763052536e+20,1.8763052536e+17,1.6230317393e+00,2.2953134979e+00,2.2953134979e+00,3.2460634786e+00,1.6230317393e-03,2.2953134979e-03,2.2953134979e-03,3.2460634786e-03,5.4138511360e-09,7.6563417012e-09,0,2.2204460493e-16,inf,3.6318370478e+20,1.1508597130e+13,7.2636740956e+20,2.3017194259e+13,2.8078928221e-20,2.8622760674e-21,-2.6342320268e+00,2025-11-22T13:30:24.707255,1.6180339887e+00
Star_0015,2.8114620530e-01,5.5919980234e+29,2.5355125193e+19,2.5355125193e+16,1.6948613097e+08,2.6799624979e+03,8.2169767615e+02,8.3054147093e+02,8.3054147093e-01,3.0528427635e+16,3.0528427635e+16,1.2458122064e+03,2.4916244128e+03,False,False,1.0000000000e+00,0,1.0000000000e+00,2.0000000000e+00,5.0710250386e+19,5.0710250386e+16,1.2132589028e+00,1.7158071950e+00,1.7158071950e+00,2.4265178056e+00,1.2132589028e-03,1.7158071950e-03,1.7158071950e-03,2.4265178056e-03,4.0469960815e-09,5.7233167454e-09,0,0.0000000000e+00,inf,1.3130828853e+20,4.1609085778e+12,2.6261657707e+20,8.3218171555e+12,5.8055211876e-20,5.9179624746e-21,-1.4719971652e+00,2025-11-22T13:30:24.707760,1.6180339887e+00
Star_0016,3.2901589050e-01,6.5441260620e+29,5.7001771711e+19,5.7001771711e+16,3.8102788577e+08,6.0249203796e+03,1.8472881910e+03,9.7195457916e+02,9.7195457916e-01,5.8646538566e+16,5.8646538566e+16,1.4579318687e+03,2.9158637375e+03,False,False,1.0000000000e+00,0,1.0000000000e+00,2.0000000000e+00,1.1400354342e+20,1.1400354342e+17,8.7535559699e-01,1.2379397572e+00,1.2379397572e+00,1.7507111940e+00,8.7535559699e-04,1.2379397572e-03,1.2379397572e-03,1.7507111940e-03,2.9198719769e-09,4.1293225501e-09,0,0.0000000000e+00,inf,4.0915108755e+20,1.2965215591e+13,8.1830217509e+20,2.5930431183e+13,1.3442519384e-20,1.3702873990e-21,-7.6624742117e-01,2025-11-22T13:30:24.707760,1.6180339887e+00
Star_0017,4.4839745980e-01,8.9186254754e+29,4.1362236857e+19,4.1362236857e+16,2.7648554048e+08,4.3718673350e+03,1.3404490669e+03,1.3246228432e+03,1.3246228432e+00,3.1225670815e+16,3.1225670815e+16,1.9869342648e+03,3.9738685296e+03,False,False,1.0000000000e+00,0,1.0000000000e+00,2.0000000000e+00,8.2724473713e+19,8.2724473713e+16,1.1996369019e+00,1.6965427766e+00,1.6965427766e+00,2.3992738039e+00,1.1996369019e-03,1.6965427766e-03,1.6965427766e-03,2.3992738039e-03,4.0015579776e-09,5.6590575625e-09,0,0.0000000000e+00,inf,2.1663771635e+20,6.8648349797e+12,4.3327543271e+20,1.3729669959e+13,3.4793299537e-20,3.5467175879e-21,-1.4391286965e+00,2025-11-22T13:30:24.707760,1.6180339887e+00
Star_0018,4.5056898060e-01,8.9618170241e+29,3.5164961681e+19,3.5164961681e+16,2.3505990429e+08,3.7168334934e+03,1.1396105156e+03,1.3310377905e+03,1.3310377905e+00,2.6419206076e+16,2.6419206076e+16,1.9965566857e+03,3.9931133714e+03,False,False,1.0000000000e+00,0,1.0000000000e+00,2.0000000000e+00,7.0329923363e+19,7.0329923363e+16,1.3042048889e+00,1.8444242420e+00,1.8444242420e+00,2.6084097778e+00,1.3042048889e-03,1.8444242420e-03,1.8444242420e-03,2.6084097778e-03,4.3503592372e-09,6.1523370344e-09,0,0.0000000000e+00,inf,1.6941200914e+20,5.3683426225e+12,3.3882401829e+20,1.0736685245e+13,4.8370602750e-20,4.9307444190e-21,-1.7009503922e+00,2025-11-22T13:30:24.707760,1.6180339887e+00
Star_0019,2.6895923930e-01,5.3495992697e+29,1.6991184108e+19,1.6991184108e+16,1.1357743388e+08,1.7959184133e+03,5.5064277501e+02,7.9453963104e+02,7.9453963104e-01,2.1384942229e+16,2.1384942229e+16,1.1918094466e+03,2.3836188931e+03,False,False,1.0000000000e+00,0,1.0000000000e+00,2.0000000000e+00,3.3982368217e+19,3.3982368217e+16,1.4496116293e+00,2.0500604264e+00,2.0500604264e+00,2.8992232587e+00,1.4496116293e-03,2.0500604264e-03,2.0500604264e-03,2.8992232587e-03,4.8353839152e-09,6.8382655122e-09,0,0.0000000000e+00,inf,7.3646455493e+19,2.3337153489e+12,1.4729291099e+20,4.6674306977e+12,1.2367436327e-19,1.2606968733e-20,-2.1013738759e+00,2025-11-22T13:30:24.707760,1.6180339887e+00
Star_0020,3.4740677550e-01,6.9099207647e+29,9.3062857699e+19,9.3062857699e+16,6.2207792579e+08,9.8364715885e+03,3.0159399066e+03,1.0262835809e+03,1.0262835809e+00,9.0679476345e+16,9.0679476345e+16,1.5394253714e+03,3.0788507427e+03,False,False,1.0000000000e+00,0,1.0000000000e+00,2.0000000000e+00,1.8612571540e+20,1.8612571540e+17,7.0396522058e-01,9.9555716239e-01,9.9555716239e-01,1.4079304412e+00,7.0396522058e-04,9.9555716239e-04,9.9555716239e-04,1.4079304412e-03,2.3481752185e-09,3.3208212409e-09,0,0.0000000000e+00,inf,8.3062509772e+20,2.6320921037e+13,1.6612501954e+21,5.2641842074e+13,5.3250785979e-21,5.4282146768e-22,-4.9556703179e-01,2025-11-22T13:30:24.707760,1.6180339887e+00
Star_0021,2.9100887770e-01,5.7881665775e+29,9.6950748097e+19,9.6950748097e+16,6.4806649797e+08,1.0247410221e+04,3.1419369380e+03,8.5967705337e+02,8.5967705337e-01,1.1277577750e+17,1.1277577750e+17,1.2895155801e+03,2.5790311601e+03,False,False,1.0000000000e+00,0,1.0000000000e+00,2.0000000000e+00,1.9390149619e+20,1.9390149619e+17,6.3124476596e-01,8.9271490920e-01,8.9271490920e-01,1.2624895319e+00,6.3124476596e-04,8.9271490920e-04,8.9271490920e-04,1.2624895319e-03,2.1056058921e-09,2.9777764096e-09,0,0.0000000000e+00,inf,9.6501317525e+20,3.0579422239e+13,1.9300263505e+21,6.1158844478e+13,4.1100245472e-21,4.1896274692e-22,-3.9846995455e-01,2025-11-22T13:30:24.708265,1.6180339887e+00
Star_0022,4.0761732580e-01,8.1075086102e+29,7.0481641451e+19,7.0481641451e+16,4.7113396692e+08,7.4497031446e+03,2.2841378440e+03,1.2041531664e+03,1.2041531664e+00,5.8532123168e+16,5.8532123168e+16,1.8062297497e+03,3.6124594993e+03,False,False,1.0000000000e+00,0,1.0000000000e+00,2.0000000000e+00,1.4096328290e+20,1.4096328290e+17,8.7621072796e-01,1.2391490950e+00,1.2391490950e+00,1.7524214559e+00,8.7621072796e-04,1.2391490950e-03,1.2391490950e-03,1.7524214559e-03,2.9227243867e-09,4.1333564668e-09,0,0.0000000000e+00,inf,5.0541405151e+20,1.6015604847e+13,1.0108281030e+21,3.2031209693e+13,1.0892839951e-20,1.1103812386e-21,-7.6774523979e-01,2025-11-22T13:30:24.708265,1.6180339887e+00
Star_0023,1.9346698100e-01,3.8480582521e+29,3.5836150787e+18,3.5836150787e+15,2.3954646248e+07,3.7877762168e+02,1.1613621151e+02,5.7152594610e+02,5.7152594610e-01,6.2702579002e+15,6.2702579002e+15,8.5728891915e+02,1.7145778383e+03,False,False,1.0000000000e+00,0,1.0000000000e+00,2.0000000000e+00,7.1672301574e+18,7.1672301574e+15,2.6770901928e+00,3.7859772583e+00,3.7859772583e+00,5.3541803855e+00,2.6770901928e-03,3.7859772583e-03,3.7859772583e-03,5.3541803855e-03,8.9298116791e-09,1.2628660786e-08,0,2.2204460493e-16,inf,8.4108177117e+18,2.6652273024e+11,1.6821635423e+19,5.3304546047e+11,1.9998832862e-18,2.0386170094e-19,-7.1668119002e+00,2025-11-22T13:30:24.708265,1.6180339887e+00
Star_0024,3.1368306330e-01,6.2391561290e+29,1.4030002784e+20,1.4030002784e+17,9.3783441069e+08,1.4829302171e+04,4.5467812114e+03,9.2665946717e+02,9.2665946717e-01,1.5140408404e+17,1.5140408404e+17,1.3899892007e+03,2.7799784015e+03,False,False,1.0000000000e+00,0,1.0000000000e+00,2.0000000000e+00,2.8060005568e+20,2.8060005568e+17,5.4479976305e-01,7.7046321368e-01,7.7046321368e-01,1.0895995261e+00,5.4479976305e-04,7.7046321368e-04,7.7046321368e-04,1.0895995261e-03,1.8172564003e-09,2.5699886476e-09,0,0.0000000000e+00,inf,1.6180827036e+21,5.1273946802e+13,3.2361654072e+21,1.0254789360e+14,2.1155147749e-21,2.1564880479e-22,-2.9680678182e-01,2025-11-22T13:30:24.708265,1.6180339887e+00
Star_0025,4.7373509280e-01,9.4225909958e+29,6.7457981733e+18,6.7457981733e+15,4.5092233779e+07,7.1301111651e+02,2.1861484180e+02,1.3994734177e+03,1.3994734177e+00,4.8202403047e+15,4.8202403047e+15,2.0992101266e+03,4.1984202531e+03,False,False,1.0000000000e+00,0,1.0000000000e+00,2.0000000000e+00,1.3491596347e+19,1.3491596347e+16,3.0533132349e+00,4.3180369869e+00,4.3180369869e+00,6.1066264697e+00,3.0533132349e-03,4.3180369869e-03,4.3180369869e-03,6.1066264697e-03,1.0184756665e-08,1.4403421006e-08,0,2.2204460493e-16,inf,1.3881674335e+19,4.3988371532e+11,2.7763348669e+19,8.7976743064e+11,1.3820042448e-18,1.4087708918e-19,-9.3227217102e+00,2025-11-22T13:30:24.708265,1.6180339887e+00
Star_0026,1.9226884460e-01,3.8242273191e+29,7.8673524401e+19,7.8673524401e+16,5.2589254279e+08,8.3155611881e+03,2.5496167612e+03,5.6798649954e+02,5.6798649954e-01,1.3851301829e+17,1.3851301829e+17,8.5197974931e+02,1.7039594986e+03,False,False,1.0000000000e+00,0,1.0000000000e+00,2.0000000000e+00,1.5734704880e+20,1.5734704880e+17,5.6958744595e-01,8.0551829102e-01,8.0551829102e-01,1.1391748919e+00,5.6958744595e-04,8.0551829102e-04,8.0551829102e-04,1.1391748919e-03,1.8999392105e-09,2.6869197991e-09,0,0.0000000000e+00,inf,8.6785679019e+20,2.7500722178e+13,1.7357135804e+21,5.5001444355e+13,4.1237488858e-21,4.2036176205e-22,-3.2442985859e-01,2025-11-22T13:30:24.708265,1.6180339887e+00
Star_0027,3.8075982490e-01,7.5733129173e+29,4.4463252485e+19,4.4463252485e+16,2.9721425458e+08,4.6996356078e+03,1.4409454090e+03,1.1248127098e+03,1.1248127098e+00,3.9529471970e+16,3.9529471970e+16,1.6872190648e+03,3.3744381295e+03,False,False,1.0000000000e+00,0,1.0000000000e+00,2.0000000000e+00,8.8926504970e+19,8.8926504970e+16,1.0662160077e+00,1.5078571385e+00,1.5078571385e+00,2.1324320153e+00,1.0662160077e-03,1.5078571385e-03,1.5078571385e-03,2.1324320153e-03,3.5565137788e-09,5.0296700208e-09,0,0.0000000000e+00,inf,2.6202087824e+20,8.3029405988e+12,5.2404175648e+20,1.6605881198e+13,2.5567553237e-20,2.6062745400e-21,-1.1368165750e+00,2025-11-22T13:30:24.708265,1.6180339887e+00
Star_0028,2.6674537480e-01,5.3055655048e+29,5.5537053797e+19,5.5537053797e+16,3.7123699062e+08,5.8701039845e+03,1.7998202611e+03,7.8799959513e+02,7.8799959513e-01,7.0478530877e+16,7.0478530877e+16,1.1819993927e+03,2.3639987854e+03,False,False,1.0000000000e+00,0,1.0000000000e+00,2.0000000000e+00,1.1107410759e+20,1.1107410759e+17,7.9850434521e-01,1.1292556746e+00,1.1292556746e+00,1.5970086904e+00,7.9850434521e-04,1.1292556746e-03,1.1292556746e-03,1.5970086904e-03,2.6635237942e-09,3.7667914735e-09,0,0.0000000000e+00,inf,4.3700400945e+20,1.3847821427e+13,8.7400801890e+20,2.7695642853e+13,1.1480788874e-20,1.1703148699e-21,-6.3760918932e-01,2025-11-22T13:30:24.708265,1.6180339887e+00
Star_0029,2.0006142588e+01,3.9792217608e+31,2.8872379020e+19,2.8872379020e+16,1.9299718596e+08,3.0517259296e+03,9.3568328158e+02,5.9100677084e+04,5.9100677084e+01,4.8852873510e+14,4.8852873510e+14,8.8651015626e+04,1.7730203125e+05,False,False,1.0000000000e+00,0,1.0000000000e+00,2.0000000000e+00,5.7744758040e+19,5.7744758040e+16,9.5909283853e+00,1.3563620998e+01,1.3563620998e+01,1.9181856771e+01,9.5909283853e-03,1.3563620998e-02,1.3563620998e-02,1.9181856771e-02,3.1991893490e-08,4.5243369659e-08,0,1.1102230246e-15,inf,1.8914801608e+19,5.9937389433e+11,3.7829603215e+19,1.1987477887e+12,3.1859483151e-18,3.2476537361e-19,-9.1985907292e+01,2025-11-22T13:30:24.708265,1.6180339887e+00
Star_0030,4.8639995040e-01,9.6744950135e+29,2.2411162054e+19,2.2411162054e+16,1.4980723298e+08,2.3687942135e+03,7.2629102161e+02,1.4368870099e+03,1.4368870099e+00,1.5597024609e+16,1.5597024609e+16,2.1553305148e+03,4.3106610296e+03,False,False,1.0000000000e+00,0,1.0000000000e+00,2.0000000000e+00,4.4822324107e+19,4.4822324107e+16,1.6974024567e+00,2.4004895750e+00,2.4004895750e+00,3.3948049133e+00,1.6974024567e-03,2.4004895750e-03,2.4004895750e-03,3.3948049133e-03,5.6619251464e-09,8.0071713312e-09,0,2.2204460493e-16,inf,8.2958218648e+19,2.6287873174e+12,1.6591643730e+20,5.2575746348e+12,1.2855982626e-19,1.3104977192e-20,-2.8811750999e+00,2025-11-22T13:30:24.708265,1.6180339887e+00
Star_0031,4.4555135750e-01,8.8620165007e+29,6.2989363496e+19,6.2989363496e+16,4.2105189503e+08,6.6577913007e+03,2.0413314158e+03,1.3162150968e+03,1.3162150968e+00,4.7856435964e+16,4.7856435964e+16,1.9743226452e+03,3.9486452905e+03,False,False,1.0000000000e+00,0,1.0000000000e+00,2.0000000000e+00,1.2597872699e+20,1.2597872699e+17,9.6902622152e-01,1.3704100248e+00,1.3704100248e+00,1.9380524430e+00,9.6902622152e-04,1.3704100248e-03,1.3704100248e-03,1.9380524430e-03,3.2323235480e-09,4.5711957996e-09,0,0.0000000000e+00,inf,4.0842428661e+20,1.2942184659e+13,8.1684857321e+20,2.5884369319e+13,1.4907466370e-20,1.5196194057e-21,-9.3901181799e-01,2025-11-22T13:30:24.708265,1.6180339887e+00
